group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,acc_delta,e6c_f1,e20_f1,f1_delta,e6c_recall,e20_recall,e6c_fpr,e20_fpr,e6c_auc,e20_auc,dataset
generator,stable-diffusion-1-4,36,0,36,0.6944444444444444,0.4166666666666667,-0.27777777777777773,0.819672131147541,0.5882352941176471,-0.23143683702989393,0.6944444444444444,0.4166666666666667,,,,,E14_Degraded
generator,stable-diffusion-2,45,0,45,0.5333333333333333,0.3333333333333333,-0.2,0.6956521739130436,0.5,-0.19565217391304357,0.5333333333333333,0.3333333333333333,,,,,E14_Degraded
device_family,unknown,600,300,300,0.6583333333333333,0.6416666666666667,-0.016666666666666607,0.5610278372591007,0.47174447174447176,-0.0892833655146289,0.43666666666666665,0.32,0.12,0.03666666666666667,0.7640055555555556,0.7980166666666667,E14_Degraded
degradation_type,"Double JPEG (L1280, Q80->Q70, 4:2:0)",200,100,100,0.6,0.64,0.040000000000000036,0.4117647058823529,0.45454545454545453,0.04278074866310161,0.28,0.3,0.08,0.02,0.7333,0.80215,E14_Degraded
degradation_type,Resize (L1080) + JPEG Q80 (4:2:0),200,100,100,0.71,0.64,-0.06999999999999995,0.6547619047619048,0.4782608695652174,-0.17650103519668736,0.55,0.33,0.13,0.05,0.7927,0.79205,E14_Degraded
degradation_type,"WhatsApp-tier JPEG (L1280, Q75, 4:2:0)",200,100,100,0.665,0.645,-0.020000000000000018,0.5889570552147239,0.4817518248175182,-0.10720523039720564,0.48,0.33,0.15,0.04,0.78115,0.8004,E14_Degraded
generator,"FLUX (Flux LoRA Synthetic Corpus, exact engine unspecified)",20,0,20,0.1,0.35,0.24999999999999997,0.18181818181818182,0.5185185185185185,0.33670033670033667,0.1,0.35,,,,,E19_Smartphone_Benchmark
generator,Google Gemini (exact underlying model unspecified),20,0,20,0.3,0.7,0.39999999999999997,0.4615384615384615,0.8235294117647058,0.36199095022624433,0.3,0.7,,,,,E19_Smartphone_Benchmark
generator,Midjourney (exact version unspecified),20,0,20,0.85,0.85,0.0,0.9189189189189189,0.9189189189189189,0.0,0.85,0.85,,,,,E19_Smartphone_Benchmark
generator,None (Camera ISP),100,100,0,0.84,0.99,0.15000000000000002,0.0,0.0,0.0,,,0.16,0.01,,,E19_Smartphone_Benchmark
generator,OpenAI DALL-E (DALL-E 3),20,0,20,0.7,0.95,0.25,0.8235294117647058,0.9743589743589743,0.1508295625942685,0.7,0.95,,,,,E19_Smartphone_Benchmark
generator,Stability AI Stable Diffusion (exact version unspecified),20,0,20,0.8,0.85,0.04999999999999993,0.888888888888889,0.9189189189189189,0.03003003003002991,0.8,0.85,,,,,E19_Smartphone_Benchmark
